Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
INFINIX,Note 40 Pro,INCELL,JA,170,320
INFINIX,Note 50 Pro,INCELL,JA,125,270
INFINIX,Note 7,OLED,JA,90,230
INFINIX,Note 8,OLED,JA,130,330
INFINIX,Smart 5 Copia,OLED,JA,120,260
INFINIX,Smart 6,OLED,JA,280,480
INFINIX,Smart 6 HD,OLED,JA,90,230
INFINIX,Smart 6 Plus,OLED,JA,95,230
INFINIX,Smart 7,OLED,JA,110,260
INFINIX,Smart 9,OLED,JA,90,230
INFINIX,Smart 10,OLED,JA,95,230
INFINIX,Zero 30,INCELL,JA,160,310
INFINIX,Zero 30,OLED,JA,450,650
IPHONE,5C,OLED,JA,80,220
IPHONE,8,OLED,JA,170,370
LG,G4,OLED,JA,90,230
LG,G4 Stylus,OLED,JA,110,260
LG,K10,OLED,JA,80,220
LG,K10 2017,OLED,JA,110,260
LG,K11,OLED,JA,90,230
LG,K22,OLED,JA,90,230
LG,K4,OLED,JA,70,250
LG,K4 2017,OLED,JA,80,220
LG,K40,OLED,JA,110,260
LG,K50,OLED,JA,90,230
LG,K8,OLED,JA,110,260
LG,K8 2017,OLED,JA,90,230
MOTOROLA,E22i,OLED,JA,100,260
MOTOROLA,G22,OLED,JA,100,260
MOTOROLA,G04s,OLED,JA,100,260
MOTOROLA,G24,OLED,JA,100,260
PANTALLA,Tablet T1,OLED,JA,120,260
PANTALLA,Tablet T2,OLED,JA,120,260
PANTALLA,Tablet T225,OLED,JA,200,400
PANTALLA,Tablet T285,OLED,JA,140,340
PANTALLA,Tablet T295,OLED,JA,180,380
PANTALLA,Tablet T3,OLED,JA,150,350
REALME,6,OLED,JA,105,260
REALME,6 Pro,OLED,JA,140,340
REALME,7,OLED,JA,110,260
REALME,7 Pro,INCELL,JA,100,260
REALME,7i,OLED,JA,100,260
REALME,8,OLED,JA,100,260
REALME,8 5G,OLED,JA,105,260
REALME,8 Pro,INCELL,JA,100,260
REALME,8i,OLED,JA,110,260
REALME,8i 5G,OLED,JA,150,350
REALME,9i,OLED,JA,110,260
REALME,11 5G,OLED,JA,110,260
REALME,C11 2020,OLED,JA,95,230
REALME,C11 2021,OLED,JA,90,230
REALME,C21Y,OLED,JA,90,230
REALME,C25,OLED,JA,105,260
REALME,C3,OLED,JA,95,230
REALME,C30,OLED,JA,95,230
REALME,C33,OLED,JA,100,260
REALME,C35,OLED,JA,100,260
REALME,C53,OLED,JA,100,260
REALME,C55,OLED,JA,100,260
REALME,GT Master,OLED,JA,380,580
REALME,GT Master,INCELL,JA,130,280
SAMSUNG,Galaxy A01 Core,OLED,JA,85,220
SAMSUNG,Galaxy A01,OLED,JA,85,220
SAMSUNG,Galaxy A02,OLED,JA,85,220
SAMSUNG,Galaxy A02s,OLED,JA,85,220
SAMSUNG,Galaxy A03 Core,OLED,JA,85,220
SAMSUNG,Galaxy A03s,OLED,JA,85,220
SAMSUNG,Galaxy A04,OLED,JA,90,230
SAMSUNG,Galaxy A04s,OLED,JA,100,260
SAMSUNG,Galaxy A04e,OLED,JA,95,230
SAMSUNG,Galaxy A05,OLED,JA,95,230
SAMSUNG,Galaxy A05s,OLED,JA,115,260
SAMSUNG,Galaxy A06,OLED,JA,95,230
SAMSUNG,Galaxy A07,OLED,JA,95,230
SAMSUNG,Galaxy A10,OLED,JA,85,220
SAMSUNG,Galaxy A10s,OLED,JA,85,220
SAMSUNG,Galaxy A11,OLED,JA,95,230
SAMSUNG,Galaxy A12,OLED,JA,85,220
SAMSUNG,Galaxy A13 4G,OLED,JA,100,260
SAMSUNG,Galaxy A14 4G,OLED,JA,100,260
SAMSUNG,Galaxy A14 5G,OLED,JA,105,260
SAMSUNG,Galaxy A15,INCELL,JA,135,285
SAMSUNG,Galaxy A15,OLED,JA,290,490
SAMSUNG,Galaxy A16,INCELL,JA,130,280
SAMSUNG,Galaxy A20,INCELL,JA,110,260
SAMSUNG,Galaxy A20,OLED,JA,250,450
