Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
SAMSUNG,A02s,LCD,MR PANTALLA,85,210
SAMSUNG,A03,LCD,MR PANTALLA,85,220
SAMSUNG,A03s,LCD,MR PANTALLA,85,220
SAMSUNG,A03 Core,LCD,MR PANTALLA,85,220
SAMSUNG,A04,LCD,MR PANTALLA,90,240
SAMSUNG,A04E,LCD,MR PANTALLA,85,240
SAMSUNG,A05s,LCD,MR PANTALLA,110,260
SAMSUNG,A05,LCD,MR PANTALLA,95,240
SAMSUNG,A06,LCD,MR PANTALLA,90,240
SAMSUNG,A07,LCD,MR PANTALLA,100,240
SAMSUNG,A10,LCD,MR PANTALLA,85,220
SAMSUNG,A10s,LCD,MR PANTALLA,85,230
SAMSUNG,A11,LCD,MR PANTALLA,90,230
SAMSUNG,A12 Universal,LCD,MR PANTALLA,85,230
SAMSUNG,A13,LCD,MR PANTALLA,90,240
SAMSUNG,A23 M336B,LCD,MR PANTALLA,90,240
SAMSUNG,A14,LCD,MR PANTALLA,95,240
SAMSUNG,A146B,LCD,MR PANTALLA,95,240
SAMSUNG,A15,INCELL,MR PANTALLA,120,260
SAMSUNG,A16,INCELL,MR PANTALLA,120,260
SAMSUNG,A17 4G/5G,OLED,MR PANTALLA,320,520
SAMSUNG,A20s,LCD,MR PANTALLA,90,240
SAMSUNG,A21s,LCD,MR PANTALLA,90,240
SAMSUNG,A20,LCD,MR PANTALLA,100,240
SAMSUNG,A22 5G,LCD,MR PANTALLA,100,250
SAMSUNG,A22 4G,LCD,MR PANTALLA,120,270
SAMSUNG,A24,INCELL,MR PANTALLA,120,270
SAMSUNG,A25,INCELL,MR PANTALLA,120,270
SAMSUNG,A26,INCELL,MR PANTALLA,130,280
SAMSUNG,A30,INCELL,MR PANTALLA,110,260
SAMSUNG,A30s,INCELL,MR PANTALLA,100,250
SAMSUNG,A31,INCELL,MR PANTALLA,110,260
SAMSUNG,A32 4G,INCELL,MR PANTALLA,110,260
SAMSUNG,A33,INCELL,MR PANTALLA,140,290
SAMSUNG,A34,INCELL,MR PANTALLA,140,290
SAMSUNG,A35,INCELL,MR PANTALLA,150,300
SAMSUNG,A36,INCELL,MR PANTALLA,150,300
SAMSUNG,A50,INCELL,MR PANTALLA,110,260
SAMSUNG,A51,INCELL,MR PANTALLA,110,260
SAMSUNG,A52,INCELL,MR PANTALLA,140,290
SAMSUNG,A53,INCELL,MR PANTALLA,140,290
SAMSUNG,A54,INCELL,MR PANTALLA,140,290
SAMSUNG,A55,INCELL,MR PANTALLA,150,300
SAMSUNG,A56,INCELL,MR PANTALLA,160,310
SAMSUNG,A70,INCELL,MR PANTALLA,130,280
SAMSUNG,A71,INCELL,MR PANTALLA,130,280
SAMSUNG,M22,INCELL,MR PANTALLA,120,270
SAMSUNG,M31,INCELL,MR PANTALLA,120,270
SAMSUNG,M52,INCELL,MR PANTALLA,140,290
SAMSUNG,M53,INCELL,MR PANTALLA,140,290
SAMSUNG,S20 Fe,OLED,MR PANTALLA,320,530
SAMSUNG,S21 Fe,OLED,MR PANTALLA,340,550
SAMSUNG,S23 Fe,OLED,MR PANTALLA,400,610
SAMSUNG,S22 Ultra,OLED,MR PANTALLA,900,1250
SAMSUNG,S23 Ultra,OLED,MR PANTALLA,900,1300
SAMSUNG,S24 Ultra,OLED,MR PANTALLA,900,1400
SAMSUNG,Note 20 Ultra,OLED,MR PANTALLA,900,1250
TECNO,Spark 6,LCD,MR PANTALLA,100,250
TECNO,Camon 16,LCD,MR PANTALLA,100,250
TECNO,Pova,LCD,MR PANTALLA,100,250
TECNO,Hot 10,LCD,MR PANTALLA,100,250
TECNO,Note 8i,LCD,MR PANTALLA,100,250
TECNO,Spark 6 go,LCD,MR PANTALLA,90,240
TECNO,Hot 10 Lite,LCD,MR PANTALLA,90,240
TECNO,Smart 5,LCD,MR PANTALLA,90,240
TECNO,Spark 6 2022,LCD,MR PANTALLA,90,240
TECNO,Pop 5 Lite,LCD,MR PANTALLA,90,240
TECNO,Spark 7,LCD,MR PANTALLA,90,240
TECNO,7T,LCD,MR PANTALLA,90,240
TECNO,Hot 10i,LCD,MR PANTALLA,90,240
TECNO,Spark 8T,LCD,MR PANTALLA,90,240
TECNO,Spark 8C,LCD,MR PANTALLA,90,240
